"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Comeback 32cm 🌶️";"🍕 PIZZA 32CM";" 18:54";"121";"249";"1743";"7"
"Comeback 40 cm";"🍕 PIZZA 40CM  ";" 18:29";"109";"309";"1854";"6"
"Comeback 40cm 🌶️";"🍕 PIZZA 40CM  ";" 18:20";"109";"309";"1854";"6"
"Dip česnekový";"🍯 PŘÍLOHY";" 18:25";"P106";"20";"320";"16"
"Dip Jalapeňos";"🍯 PŘÍLOHY";" 17:47";"P107";"20";"60";"3"
"gorgonzola";"Vyberte extra přísady na pizzu 32cm";" 18:51";"B101";"30";"30";"1"
"grana padano";"Vyberte extra přísady na pizzu 32cm";" 17:00";"B130";"30";"30";"1"
"Guarana classic";"🥤 NÁPOJE";" 17:04";"N142";"55";"110";"2"
"Guarana kiwi a jablko";"🥤 NÁPOJE";" 13:49";"N144";"55";"165";"3"
"Hawai 18 cm";"🍕 PIZZA 18CM";" 11:51";"126";"119";"119";"1"
"Hawai 32 cm";"🍕 PIZZA 32CM";" 17:36";"114";"249";"498";"2"
"Hawai 32cm";"🍕 PIZZA 32CM";" 14:04";"114";"249";"996";"4"
"Hawai 40 cm";"🍕 PIZZA 40CM  ";" 17:36";"102";"309";"927";"3"
"Hawai 40cm";"🍕 PIZZA 40CM  ";" 18:48";"102";"309";"1236";"4"
