2026-05-18 08:13:14 | ms=0.328 | karta=18 - nakupni_kosik | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.306 | karta=16 - ziskovost | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.240 | karta=14 - prehled_objednavek | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.217 | karta=17 - mzdy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
---------- celkem priprava: 2204.402 ms ---------------- celkem zobrazeni: 4.361 ms -----------------
2026-05-18 08:13:17 | ms=0.024 | karta=3 - admin_inicializace | mode=nano | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:17 | ms=4.400 | karta=1 - admin_karty | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:17 | ms=3.533 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:17 | ms=1.885 | karta=4 - go_test | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:18 | ms=1680.951 | karta=5 - prehled_db | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:18 | ms=170.622 | karta=15 - top_report | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:18 | ms=6.165 | karta=6 - admin_pobocky | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:19 | ms=202.821 | karta=19 - objednavky_online | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
